country,country_code,indicator,indicator_code,year,value
Denmark,DNK,"Population, total",SP.POP.TOTL,1960,4579603.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1961,4611687.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1962,4647727.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1963,4684483.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1964,4722072.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1965,4759012.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1966,4797381.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1967,4835354.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1968,4864883.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1969,4891860.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1970,4928757.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1971,4963126.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1972,4991596.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1973,5021861.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1974,5045297.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1975,5059862.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1976,5072596.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1977,5088419.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1978,5104248.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1979,5116801.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1980,5123027.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1981,5121572.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1982,5117810.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1983,5114297.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1984,5111619.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1985,5113691.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1986,5120534.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1987,5127024.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1988,5129516.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1989,5132594.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1990,5140939.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1991,5154298.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1992,5171370.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1993,5188628.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1994,5206180.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1995,5233373.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1996,5263074.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1997,5284991.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1998,5304219.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1999,5321799.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2000,5339616.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2001,5358783.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2002,5375931.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2003,5390574.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2004,5404523.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2005,5419432.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2006,5437272.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2007,5461438.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2008,5493621.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2009,5523095.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2010,5547683.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2011,5570572.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2012,5591572.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2013,5614932.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2014,5643475.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2015,5683483.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2016,5728010.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2017,5764980.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2018,5793636.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2019,5814422.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2020,5831404.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2021,5856733.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2022,5903037.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2023,5946952.0
Denmark,DNK,"Population, total",SP.POP.TOTL,2024,5976992.0
