country,country_code,indicator,indicator_code,year,value
Estonia,EST,"Population, total",SP.POP.TOTL,1960,1211537.0
Estonia,EST,"Population, total",SP.POP.TOTL,1961,1225077.0
Estonia,EST,"Population, total",SP.POP.TOTL,1962,1241623.0
Estonia,EST,"Population, total",SP.POP.TOTL,1963,1258857.0
Estonia,EST,"Population, total",SP.POP.TOTL,1964,1277086.0
Estonia,EST,"Population, total",SP.POP.TOTL,1965,1294566.0
Estonia,EST,"Population, total",SP.POP.TOTL,1966,1308597.0
Estonia,EST,"Population, total",SP.POP.TOTL,1967,1318946.0
Estonia,EST,"Population, total",SP.POP.TOTL,1968,1331214.0
Estonia,EST,"Population, total",SP.POP.TOTL,1969,1345249.0
Estonia,EST,"Population, total",SP.POP.TOTL,1970,1360076.0
Estonia,EST,"Population, total",SP.POP.TOTL,1971,1376955.0
Estonia,EST,"Population, total",SP.POP.TOTL,1972,1392518.0
Estonia,EST,"Population, total",SP.POP.TOTL,1973,1405951.0
Estonia,EST,"Population, total",SP.POP.TOTL,1974,1418169.0
Estonia,EST,"Population, total",SP.POP.TOTL,1975,1429352.0
Estonia,EST,"Population, total",SP.POP.TOTL,1976,1439576.0
Estonia,EST,"Population, total",SP.POP.TOTL,1977,1450211.0
Estonia,EST,"Population, total",SP.POP.TOTL,1978,1460188.0
Estonia,EST,"Population, total",SP.POP.TOTL,1979,1468333.0
Estonia,EST,"Population, total",SP.POP.TOTL,1980,1477219.0
Estonia,EST,"Population, total",SP.POP.TOTL,1981,1487666.0
Estonia,EST,"Population, total",SP.POP.TOTL,1982,1498414.0
Estonia,EST,"Population, total",SP.POP.TOTL,1983,1508745.0
Estonia,EST,"Population, total",SP.POP.TOTL,1984,1518617.0
Estonia,EST,"Population, total",SP.POP.TOTL,1985,1528781.0
Estonia,EST,"Population, total",SP.POP.TOTL,1986,1540190.0
Estonia,EST,"Population, total",SP.POP.TOTL,1987,1552221.0
Estonia,EST,"Population, total",SP.POP.TOTL,1988,1561900.0
Estonia,EST,"Population, total",SP.POP.TOTL,1989,1568131.0
Estonia,EST,"Population, total",SP.POP.TOTL,1990,1569174.0
Estonia,EST,"Population, total",SP.POP.TOTL,1991,1561314.0
Estonia,EST,"Population, total",SP.POP.TOTL,1992,1533091.0
Estonia,EST,"Population, total",SP.POP.TOTL,1993,1494128.0
Estonia,EST,"Population, total",SP.POP.TOTL,1994,1462514.0
Estonia,EST,"Population, total",SP.POP.TOTL,1995,1436634.0
Estonia,EST,"Population, total",SP.POP.TOTL,1996,1415594.0
Estonia,EST,"Population, total",SP.POP.TOTL,1997,1399535.0
Estonia,EST,"Population, total",SP.POP.TOTL,1998,1386156.0
Estonia,EST,"Population, total",SP.POP.TOTL,1999,1390244.0
Estonia,EST,"Population, total",SP.POP.TOTL,2000,1396985.0
Estonia,EST,"Population, total",SP.POP.TOTL,2001,1388115.0
Estonia,EST,"Population, total",SP.POP.TOTL,2002,1379350.0
Estonia,EST,"Population, total",SP.POP.TOTL,2003,1370720.0
Estonia,EST,"Population, total",SP.POP.TOTL,2004,1362550.0
Estonia,EST,"Population, total",SP.POP.TOTL,2005,1354775.0
Estonia,EST,"Population, total",SP.POP.TOTL,2006,1346810.0
Estonia,EST,"Population, total",SP.POP.TOTL,2007,1340680.0
Estonia,EST,"Population, total",SP.POP.TOTL,2008,1337090.0
Estonia,EST,"Population, total",SP.POP.TOTL,2009,1334515.0
Estonia,EST,"Population, total",SP.POP.TOTL,2010,1331475.0
Estonia,EST,"Population, total",SP.POP.TOTL,2011,1327439.0
Estonia,EST,"Population, total",SP.POP.TOTL,2012,1322696.0
Estonia,EST,"Population, total",SP.POP.TOTL,2013,1317997.0
Estonia,EST,"Population, total",SP.POP.TOTL,2014,1314545.0
Estonia,EST,"Population, total",SP.POP.TOTL,2015,1315407.0
Estonia,EST,"Population, total",SP.POP.TOTL,2016,1315790.0
Estonia,EST,"Population, total",SP.POP.TOTL,2017,1317384.0
Estonia,EST,"Population, total",SP.POP.TOTL,2018,1321977.0
Estonia,EST,"Population, total",SP.POP.TOTL,2019,1326898.0
Estonia,EST,"Population, total",SP.POP.TOTL,2020,1329522.0
Estonia,EST,"Population, total",SP.POP.TOTL,2021,1330932.0
Estonia,EST,"Population, total",SP.POP.TOTL,2022,1348840.0
Estonia,EST,"Population, total",SP.POP.TOTL,2023,1370286.0
Estonia,EST,"Population, total",SP.POP.TOTL,2024,1371986.0
