country,country_code,indicator,indicator_code,year,value
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,605.798144966488
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,569.548584035047
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,512.766741120388
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,448.554190878232
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,372.481759948941
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,364.250365258345
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,394.856879614212
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,376.427930059811
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,345.137046084246
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,258.048055936976
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,279.621738464365
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,308.41129550148
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,321.726775366804
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,380.505828812441
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,433.233873286
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,476.548193640077
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,543.113512472219
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,721.771577544361
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,966.388569370494
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,870.198894546917
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,876.954476440354
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,1117.40174350185
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,1168.62244675446
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,1269.66303464348
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,1264.52668823891
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,1105.65193844261
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,1103.27489428412
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,1221.39046807082
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,1283.5203037417
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,1421.99927504102
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,1229.51766602907
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,1349.99730650542
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,1739.72018344174
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,2138.22210211478
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2024,2419.26553574523
