country,country_code,indicator,indicator_code,year,value
Guinea,GIN,"Population, total",SP.POP.TOTL,1960,3556749.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1961,3619551.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1962,3684273.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1963,3750954.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1964,3819722.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1965,3890716.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1966,3964155.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1967,4040153.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1968,4118550.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1969,4198300.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1970,4277535.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1971,4355200.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1972,4431292.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1973,4506324.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1974,4580510.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1975,4653876.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1976,4727022.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1977,4801128.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1978,4877854.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1979,4959283.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1980,5047419.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1981,5143288.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1982,5247672.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1983,5359814.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1984,5480096.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1985,5610373.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1986,5750668.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1987,5900198.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1988,6056574.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1989,6215811.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1990,6434374.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1991,6697166.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1992,6914366.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1993,7128177.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1994,7345107.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1995,7553249.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1996,7770035.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1997,7931370.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1998,8081990.0
Guinea,GIN,"Population, total",SP.POP.TOTL,1999,8265123.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2000,8428832.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2001,8539960.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2002,8674066.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2003,8870781.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2004,9062726.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2005,9245844.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2006,9441171.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2007,9662281.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2008,9898870.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2009,10143534.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2010,10396086.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2011,10656810.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2012,10921581.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2013,11191873.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2014,11472924.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2015,11767070.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2016,12073030.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2017,12385659.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2018,12704774.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2019,13034346.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2020,13371183.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2021,13710513.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2022,14055137.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2023,14405468.0
Guinea,GIN,"Population, total",SP.POP.TOTL,2024,14754785.0
