country,country_code,indicator,indicator_code,year,value
Curacao,CUW,"Population, total",SP.POP.TOTL,1960,124826.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1961,126125.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1962,128414.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1963,130860.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1964,133148.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1965,135266.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1966,136682.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1967,138140.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1968,140298.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1969,142581.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1970,144739.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1971,147389.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1972,147710.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1973,146912.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1974,148351.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1975,149129.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1976,149399.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1977,149459.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1978,148341.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1979,147851.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1980,148041.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1981,148629.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1982,150101.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1983,151159.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1984,151940.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1985,152711.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1986,152662.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1987,151456.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1988,149254.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1989,146937.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1990,145400.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1991,144403.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1992,143912.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1993,144299.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1994,144630.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1995,145139.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1996,146306.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1997,146956.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1998,144472.0
Curacao,CUW,"Population, total",SP.POP.TOTL,1999,139428.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2000,133860.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2001,129047.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2002,129205.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2003,131897.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2004,134192.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2005,137658.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2006,141239.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2007,144056.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2008,145880.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2009,146833.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2010,148703.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2011,150831.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2012,152088.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2013,153822.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2014,155909.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2015,157980.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2016,159664.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2017,160175.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2018,159336.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2019,157441.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2020,154947.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2021,152369.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2022,149996.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2023,155800.0
Curacao,CUW,"Population, total",SP.POP.TOTL,2024,155900.0
